,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
240,102000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
241,85000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
242,85000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
243,104000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
244,106000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
245,95000.0,36.0,0.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
246,107000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
247,107000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
248,97000.0,36.0,0.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
249,108000.0,41.0,1.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
250,98000.0,36.0,0.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
251,98000.0,36.0,0.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
252,71000.0,32.0,0.0,2136.5548604191617,1.0,-34.5462,-58.550255,0,1,0
253,105000.0,37.0,1.0,2136.5548604191617,1.0,-34.5462,-58.550255,0,1,0
254,89000.0,49.0,1.0,2136.5548604191617,1.0,-34.546177,-58.55309,0,1,0
255,145000.0,112.0,3.0,2136.5548604191617,2.0,-34.547756,-58.559578,1,0,0
256,450000.0,180.0,5.0,2136.5548604191617,3.0,-34.54664,-58.558,0,1,0
257,100000.0,40.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
258,110000.0,48.0,1.0,2136.5548604191617,1.0,-34.546223,-58.556534,0,1,0
259,90000.0,48.0,1.0,2136.5548604191617,1.0,-34.546223,-58.556534,0,1,0
260,90000.0,48.0,1.0,2136.5548604191617,1.0,-34.546223,-58.556534,0,1,0
261,97000.0,36.0,0.0,2136.5548604191617,1.0,-34.547512,-58.55323,0,1,0
262,140000.0,60.0,2.0,2136.5548604191617,2.0,-34.54824,-58.55512,0,1,0
263,180000.0,66.0,2.0,2136.5548604191617,1.0,-34.544594,-58.55479,0,1,0
264,120000.0,60.0,5.0,2136.5548604191617,1.0,-34.544876,-58.555904,0,1,0
265,85000.0,35.0,0.0,2136.5548604191617,1.0,-34.545235,-58.5522,0,1,0
266,93000.0,45.0,1.0,2136.5548604191617,1.0,-34.549976,-58.55528,0,1,0
267,210000.0,70.0,2.0,2136.5548604191617,1.0,-34.547626,-58.55807,0,1,0
268,180000.0,130.0,4.0,2136.5548604191617,2.0,-34.54799,-58.552624,0,0,1
269,210000.0,120.0,2.0,2136.5548604191617,1.0,-34.547523,-58.55643,1,0,0
270,79000.0,45.0,1.0,2136.5548604191617,1.0,-34.547787,-58.556087,0,1,0
271,150000.0,110.0,4.0,2136.5548604191617,2.0,-34.542534,-58.55568,1,0,0
272,120000.0,34.0,1.0,2136.5548604191617,1.0,-34.54383,-58.55392,0,1,0
273,90000.0,50.0,1.0,2136.5548604191617,1.0,-34.54895,-58.55651,0,1,0
274,82000.0,38.0,1.0,2136.5548604191617,1.0,-34.5491,-58.55589,0,1,0
275,150000.0,70.0,2.0,2136.5548604191617,1.0,-34.54619,-58.55427,1,0,0
276,105000.0,75.0,1.0,2136.5548604191617,1.0,-34.54559,-58.55186,0,1,0
277,210000.0,98.0,2.0,2136.5548604191617,2.0,-34.548866,-58.553207,0,1,0
278,160000.0,85.0,2.0,2136.5548604191617,1.0,-34.545586,-58.551693,1,0,0
279,114900.0,54.0,2.0,2136.5548604191617,1.0,-34.546818,-58.553238,0,1,0
280,99000.0,41.0,1.0,2136.5548604191617,1.0,-34.5476,-58.553,0,1,0
281,220000.0,157.0,2.0,2136.5548604191617,1.0,-34.54381,-58.55456,1,0,0
282,187000.0,76.0,2.0,2136.5548604191617,2.0,-34.547726,-58.552906,0,1,0
