,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
1982,159000.0,ph,120.0,3.0,1.0,-34.55541,-58.569256,Montenegro Propiedades,10.0
1983,125000.0,departamento,62.0,2.0,2.0,-34.57913,-58.54332,ALAN FANATICO GESTION INMOBILIARIA,5.0
1984,21000.0,departamento,26.0,1.0,1.0,-34.5566,-58.522377,BARBARO PROPIEDADES,10.0
1985,195000.0,casa,99.0,2.0,1.0,-34.571697,-58.527935,BARBARO PROPIEDADES,30.0
1986,84000.0,casa,63.0,2.0,1.0,-34.51746,-58.57415,Arias Propiedades,45.0
1987,90000.0,casa,,4.0,2.0,-34.552303,-58.54,ALAN FANATICO GESTION INMOBILIARIA,
1988,150000.0,casa,65.0,2.0,1.0,-34.53704,-58.56984,Alonso Inmobiliaria,
1989,80000.0,departamento,40.0,,,,,EDUARDO RUIZ PROPIEDADES,
1990,165000.0,ph,155.0,2.0,1.0,-34.547035,-58.550327,O' DUCH NEGOCIOS INMOBILIARIOS,45.0
1991,165000.0,casa,155.0,2.0,1.0,-34.547035,-58.550327,O' DUCH NEGOCIOS INMOBILIARIOS,45.0
1992,220000.0,ph,216.0,2.0,2.0,-34.57236,-58.547417,BARBARO PROPIEDADES,30.0
1993,200000.0,ph,140.0,2.0,1.0,-34.56716,-58.533504,ALAN FANATICO GESTION INMOBILIARIA SUC.1,30.0
1994,130000.0,ph,100.0,2.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA SUC.1,40.0
1995,40000.0,departamento,38.0,1.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA SUC.1,
1996,349900.0,casa,250.0,3.0,3.0,-34.57274,-58.53937,NELIDA DEJTIAR PROPIEDADES,5.0
1997,250000.0,casa,200.0,3.0,2.0,,,NELIDA DEJTIAR PROPIEDADES,25.0
1998,68000.0,ph,60.0,3.0,1.0,,,ALAN FANATICO GESTION INMOBILIARIA SUC.1,
1999,150000.0,casa,216.0,2.0,2.0,,,NELIDA DEJTIAR PROPIEDADES,50.0
2000,135000.0,ph,,,,-34.538883,-58.549232,FUMAGALLI PROPIEDADES,
2001,83000.0,departamento,40.0,1.0,1.0,-34.57657,-58.53148,BARBARO PROPIEDADES,0.0
2002,65000.0,ph,63.0,2.0,1.0,-34.57213,-58.559223,BARBARO PROPIEDADES,20.0
