,price_USD,type,covered_surface_m2,bedrooms,bathrooms,antiquity,latitude,longitude,seller
3842,95000.0,departamento,34.0,0.0,1.0,0.0,-34.570908,-58.538128,J. Wolf Propiedades
3843,85000.0,ph,60.0,2.0,1.0,,-34.5747,-58.53506,INMOBILIARIA MONTES DE OCA
3844,65000.0,ph,60.0,2.0,1.0,,-34.53564,-58.55183,Di Rosa Propiedades
3845,94500.0,departamento,40.0,1.0,1.0,25.0,-34.566257,-58.545757,Alejandro Ale Desarrollos Inmobiliarios
3846,48000.0,departamento,20.0,0.0,1.0,0.0,-34.583405,-58.542076,RODRIGO QUESADA PROPIEDADES
3847,80000.0,departamento,47.0,1.0,1.0,14.0,-34.566624,-58.54516,Alejandro Ale Desarrollos Inmobiliarios
3848,160000.0,casa,100.0,2.0,2.0,35.0,-34.550674,-58.56188,J. Wolf Propiedades
3849,59000.0,ph,50.0,1.0,1.0,,-34.5535,-58.57082,Di Rosa Propiedades
3850,160000.0,casa,150.0,3.0,2.0,,-34.54124,-58.57474,Di Rosa Propiedades
3851,75000.0,casa,85.0,3.0,3.0,50.0,-34.5747,-58.5783,Di Rosa Propiedades
3852,65000.0,casa,144.0,2.0,1.0,,-34.56534,-58.57541,Di Rosa Propiedades
3853,85000.0,departamento,60.0,2.0,1.0,0.0,-34.5556,-58.563126,J. Wolf Propiedades
3854,85000.0,departamento,60.0,2.0,1.0,0.0,-34.5556,-58.563126,J. Wolf Propiedades
3855,85000.0,departamento,60.0,2.0,1.0,0.0,-34.5556,-58.563126,J. Wolf Propiedades
3856,80000.0,departamento,60.0,2.0,1.0,0.0,-34.5556,-58.563126,J. Wolf Propiedades
3857,65000.0,casa,110.0,2.0,1.0,30.0,-34.54341,-58.58354,Di Rosa Propiedades
3858,110000.0,casa,76.0,2.0,1.0,30.0,-34.53079,-58.55954,Di Rosa Propiedades
3859,130000.0,casa,160.0,2.0,1.0,30.0,-34.573055,-58.57127,BARBARO PROPIEDADES
3860,156000.0,ph,178.0,4.0,,,-34.553246,-58.54634,ABDUCH PROPIEDADES
3861,160000.0,casa,75.0,3.0,1.0,20.0,-34.53665,-58.566708,ABDUCH PROPIEDADES
3862,200000.0,casa,199.0,6.0,3.0,40.0,-34.55261,-58.54409,ABDUCH PROPIEDADES
3863,70000.0,departamento,35.0,1.0,1.0,,-34.526382,-58.561214,LODUCA PROPIEDADES
3864,80000.0,ph,85.0,3.0,2.0,15.0,-34.575806,-58.551243,CAUDANA PROPIEDADES
3865,129000.0,ph,,,,,-34.54405,-58.55179,SIMONI PROPIEDADES
3866,55000.0,departamento,,,,,-34.52641,-58.563637,SIMONI PROPIEDADES
3867,105000.0,ph,90.0,,,,-34.536873,-58.54757,SIMONI PROPIEDADES
3868,107000.0,departamento,44.0,1.0,,,-34.57336,-58.536797,Gladys MENON Servicios Inmobiliarios
3869,163000.0,casa,75.0,3.0,2.0,35.0,-34.555523,-58.54287,Gladys MENON Servicios Inmobiliarios
